ma_period_5min,ma_period_hourly,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
30,53,0.03,-4667.723855342437,-0.0007892384527470677,5.65167747849749,86,21,65,-2.459093353169611,-3.454530310652167
30,55,0.03,-4694.8951985214535,-0.0007987261534745836,5.547130507808501,85,21,64,-2.609727959797789,-3.5633857718617366
30,57,0.03,-4556.5764795785335,-0.0007744264372293011,5.649755041006464,83,20,63,-2.5785413874726073,-3.46439347401075
30,59,0.03,-4386.195881036361,-0.0007453558760792991,5.501979598473056,82,20,62,-2.5816835066531274,-3.2905297302565364
35,15,0.03,-6509.739448913201,-0.001099457324375244,7.080150777250992,120,26,94,-2.119769986638298,-4.7426021042514055
35,17,0.03,-6953.744034234377,-0.001167254026454687,7.362184903482155,121,25,96,-2.1276612497077236,-5.00324150574235
35,19,0.03,-6918.047793644135,-0.001167014111444129,7.090214570449631,118,25,93,-2.1077373919244495,-4.997144165521216
35,21,0.03,-6815.646744461763,-0.0011669936065549311,7.021665091023023,116,24,92,-2.0953058362182344,-4.906476322533477
35,23,0.03,-6045.604804783439,-0.0010196994299479297,6.410524459554431,108,23,85,-2.365701676714698,-4.39086513558931
35,25,0.03,-5582.985631409457,-0.0009339595393143064,6.266403074471274,103,22,81,-2.4455986782788433,-4.005822106427271
35,27,0.03,-5473.153997342078,-0.0009119111220863847,6.4110870609580015,102,22,80,-2.4850784954706415,-4.053210782838101
35,29,0.03,-5267.1639527783545,-0.0008759971838430563,6.143957936990351,100,22,78,-2.522423508909387,-4.029940760482579
35,31,0.03,-4987.723362236538,-0.0008226493469113409,5.801175470904094,97,21,76,-2.585594204551817,-3.825619826540427
35,33,0.03,-4574.013252483828,-0.0007641290968053707,5.56462195928505,94,21,73,-2.606573326176454,-3.485224330287903
35,35,0.03,-4599.282844999758,-0.0007685027366528825,5.5033647596125155,93,22,71,-2.6251233888631194,-3.501657129972346
35,37,0.03,-4683.869114561255,-0.0007892827913780435,5.801269248338193,92,22,70,-2.584118007766906,-3.6429496313092504
35,39,0.03,-4704.782193996244,-0.0008032445484421532,5.849106995860825,91,22,69,-2.6033438808202782,-3.6575127479227763
35,41,0.03,-4930.427769714808,-0.0008429065147497199,5.9594576083835396,91,21,70,-2.617676944685997,-3.871804130568579
35,43,0.03,-4940.475232699533,-0.0008446401617022201,5.96356084667171,92,21,71,-2.6192147380076767,-3.87321622055128
35,45,0.03,-4993.399820766031,-0.0008433228717869439,5.937363378549015,91,21,70,-2.629322262733181,-3.897075971188557
35,47,0.03,-4851.593323393627,-0.0008223906416625219,5.841814795076699,90,21,69,-2.5514951992588046,-3.7893440265526124
35,49,0.03,-4710.370912666409,-0.000798080793517217,5.616483097317435,87,21,66,-2.6270483508597477,-3.706719155152442
35,51,0.03,-4760.485393358578,-0.0008066627593429893,5.678693949565868,87,21,66,-2.6225064693216864,-3.691310386076712
35,53,0.03,-4444.708050203202,-0.0007546777424298331,5.524543561225793,85,21,64,-2.4785542214085328,-3.2617678236725722
35,55,0.03,-4503.82771764054,-0.0007673679693412631,5.404387171029343,84,21,63,-2.6481265210539857,-3.3967883522994637
35,57,0.03,-4407.463025862158,-0.0007502429432755814,5.508938512454815,82,20,62,-2.6195983506637304,-3.29302669171597
35,59,0.03,-4159.429014410065,-0.0007079816238653237,5.358596103213242,81,20,61,-2.6196289313932906,-3.0918221165841877
40,15,0.03,-6476.295958384998,-0.0010976378428220516,7.086406649880421,120,26,94,-2.1094566631569736,-4.7394919150347725
40,17,0.03,-6932.007078331905,-0.0011674745057994515,7.3510845616800475,121,25,96,-2.122452593212616,-4.993210126986333
40,19,0.03,-6905.070254650305,-0.0011647382031383497,7.085480290049023,118,25,93,-2.110185732341063,-4.991233180057668
40,21,0.03,-6713.740974596768,-0.0011491468097723902,6.926563715665517,116,24,92,-2.11106798653157,-4.818193743623496
40,23,0.03,-5982.923567184838,-0.0010088097933418617,6.362892714667426,108,23,85,-2.368197317853269,-4.324609707834465
40,25,0.03,-5829.219897918948,-0.0009766009564255668,6.218291253703152,104,22,82,-2.386180326720999,-4.095541385637451
40,27,0.03,-5418.94902500573,-0.0009025515535212818,6.366382969897896,102,22,80,-2.496758525104077,-3.9873417335190515
40,29,0.03,-5210.982868291498,-0.00086631761821972,6.09709877884012,100,22,78,-2.5367864384099774,-3.960975572983984
40,31,0.03,-4914.855813219137,-0.0008101323300154089,5.7378307421778825,97,21,76,-2.5985236379784724,-3.744822346807078
40,33,0.03,-4494.941366754257,-0.0007506472463102216,5.490786836353742,94,21,73,-2.618688145278789,-3.4018273413390268
40,35,0.03,-4530.1163026330505,-0.0007607975409391879,5.457002667883744,93,22,71,-2.630194475816134,-3.42427429546045
40,37,0.03,-4689.681790638686,-0.0007944072697576652,5.78526449022981,92,21,71,-2.5955783073607797,-3.619787776763295
40,39,0.03,-4689.598852554554,-0.0008052887969911325,5.824422630984843,91,21,70,-2.6110010716795773,-3.612751320520429
40,41,0.03,-4901.289506836734,-0.0008425481464153457,5.916113838326614,91,20,71,-2.6334644263769946,-3.817761908926338
40,43,0.03,-4908.4049650770685,-0.0008427210250014946,5.91132953837753,92,20,72,-2.6355955160454902,-3.817645002117618
40,45,0.03,-4975.726310993086,-0.0008432901786408007,5.893242984427515,91,20,71,-2.645714190232721,-3.8490423597352765
40,47,0.03,-4864.969281913661,-0.0008319809592649185,5.836005679350271,90,20,70,-2.5550773264476,-3.7679654344935916
40,49,0.03,-4729.348090965391,-0.0008085960767596767,5.61421132209979,87,20,67,-2.627198180968012,-3.684658948577791
40,51,0.03,-4761.879564151941,-0.0008141619080523697,5.676731909927455,87,21,66,-2.6210705325386807,-3.6495786461933744
40,53,0.03,-4475.172755332097,-0.0007671529417280287,5.511375142051238,85,21,64,-2.478094907090503,-3.2600534150329312
40,55,0.03,-4487.507783282022,-0.0007664651168261009,5.362588374711478,84,21,63,-2.6464808037301717,-3.3443406698244047
40,57,0.03,-4405.8618257006465,-0.0007516315575625789,5.459824293998726,82,20,62,-2.6244176446152383,-3.2673114506097503
40,59,0.03,-4115.105681446679,-0.000700433583866606,5.282728140736024,81,20,61,-2.6238430587590527,-3.0496832411045833
45,15,0.03,-6596.4120256186325,-0.001118619461827158,7.201427568284694,120,26,94,-2.1050931162322843,-4.811421467620757
45,17,0.03,-6941.9713255518955,-0.0011692195098630404,7.360976928517385,121,26,95,-2.119435251210335,-4.997580773793016
45,19,0.03,-6777.32159787282,-0.001142344378046056,6.978056854739633,117,26,91,-2.078979180182664,-4.88545775886748
45,21,0.03,-6540.261401134096,-0.0011188056442045563,6.768060629355648,115,25,90,-2.093417054596212,-4.6960624559165645
45,23,0.03,-5851.478525403656,-0.000985993880168854,6.34992761175579,107,24,83,-2.3411796416750628,-4.227363736786342
45,25,0.03,-5739.313605018024,-0.0009610164591822811,6.2452314104704705,103,22,81,-2.361234872463627,-4.036286441570818
45,27,0.03,-5093.110541769826,-0.0008463905485368901,6.407582696107272,100,22,78,-2.4437727043623427,-3.7846890078778572
45,29,0.03,-5136.588130038845,-0.0008535037310549915,6.133563271118319,99,22,77,-2.5085779856632278,-3.9051763650616773
45,31,0.03,-4829.271611846916,-0.000795438507437732,5.771419645456943,96,21,75,-2.566935219318089,-3.681937721929065
45,33,0.03,-4386.010864467395,-0.0007320302243238643,5.518515456657217,93,21,72,-2.57754326934298,-3.325762105722851
45,35,0.03,-4582.7189087694105,-0.0007697939186448701,5.487391485792138,93,22,71,-2.6282929229373986,-3.4606026119915874
45,37,0.03,-4718.491763029217,-0.0007993438074741299,5.79202521057248,92,21,71,-2.593102503266134,-3.6457621962975097
45,39,0.03,-4703.386919880415,-0.0008076540699745339,5.818001874061011,91,21,70,-2.613983441533491,-3.629839447688889
45,41,0.03,-4951.107546632804,-0.000850155930210375,5.897557611259021,91,20,71,-2.6321536574479287,-3.858737165147564
45,43,0.03,-4957.889938944635,-0.0008502687084888143,5.893006016965787,92,20,72,-2.634832293714276,-3.858173624788345
45,45,0.03,-5069.879399617709,-0.0008584838565750536,5.9336858962205765,91,20,71,-2.63954826271298,-3.9225514395215684
45,47,0.03,-4964.289877237922,-0.0008480986318296504,5.885613791776887,90,20,70,-2.5587288123842304,-3.8457613482271578
45,49,0.03,-4777.963063197764,-0.000815992254062251,5.618935296901057,87,20,67,-2.632489240116493,-3.7233124931175765
45,51,0.03,-4782.41289676834,-0.0008167444366091087,5.68154387979259,87,21,66,-2.622891488962417,-3.6690911438000535
45,53,0.03,-4503.594100949594,-0.0007710699722751055,5.51879137556768,85,21,64,-2.481847979205317,-3.2826212410800637
45,55,0.03,-4578.8115727537515,-0.0007789843783634385,5.421841209840535,84,21,63,-2.630973805558719,-3.3969888913957713
45,57,0.03,-4353.691269013658,-0.0007396141993820532,5.378069434013623,81,20,61,-2.6105858415217935,-3.2225069635938843
45,59,0.03,-4018.3166142016385,-0.0006830086676816278,5.223431076905353,80,20,60,-2.6106982094094926,-2.9823684419108014
50,15,0.03,-6778.0247318359125,-0.0011504004566772609,7.3765582619027965,120,26,94,-2.0966937561425616,-4.944381727526889
50,17,0.03,-7109.177165593751,-0.0011984371676141688,7.5274313095563965,121,26,95,-2.1009950832806323,-5.124287506682644
50,19,0.03,-6937.437294921182,-0.0011704142415071637,7.137022189654283,117,26,91,-2.053798041952871,-4.991542165187403
50,21,0.03,-6651.733668904674,-0.0011382924528558931,6.882643196730111,115,25,90,-2.0903726466849477,-4.78722050452627
50,23,0.03,-5947.912837285868,-0.0010027274991650603,6.424639761859326,107,24,83,-2.3260083241678005,-4.312861906205196
50,25,0.03,-5791.808432147571,-0.0009701128160460833,6.287278329262,103,23,80,-2.341262496451719,-4.0746419021825675
50,27,0.03,-5372.739000633068,-0.0008945722842991558,6.432233960589833,101,23,78,-2.448096324586754,-3.9581973404050044
50,29,0.03,-5135.470416811547,-0.0008533111370006197,6.121893435315239,99,23,76,-2.507112533497277,-3.915126058255143
50,31,0.03,-4826.075427040799,-0.0007948903129980872,5.751332220130428,96,22,74,-2.5661739257613942,-3.691637139196375
50,33,0.03,-4378.772560953098,-0.0007308405446150452,5.492354290440257,93,22,71,-2.5842533523115443,-3.3300267595516355
50,35,0.03,-4409.832631994328,-0.0007402957135966858,5.461214221605031,92,23,69,-2.5946968080950903,-3.349960763316778
50,37,0.03,-4554.831111613129,-0.0007713228129568166,5.773038198403292,91,22,69,-2.564500367861635,-3.5392915725047223
50,39,0.03,-4558.4951403274545,-0.0007827615082599194,5.8175244570919515,90,22,68,-2.5814675669702765,-3.534353300974963
50,41,0.03,-4805.127949380824,-0.0008250121752274135,5.897226411292751,90,21,69,-2.5991161779104446,-3.7627419061020246
50,43,0.03,-4816.808360818922,-0.0008259633315373363,5.897499951498739,91,21,70,-2.6019280650027135,-3.7655747791851435
50,45,0.03,-4918.518531260591,-0.0008324716855250394,5.937992471293406,90,21,69,-2.601978684688552,-3.818648625469743
50,47,0.03,-4813.130809886349,-0.0008221502169947549,5.880184721731664,89,21,68,-2.5236747732550655,-3.7465572316406597
50,49,0.03,-4633.9826718399545,-0.0007913229083755151,5.612382276995507,86,21,65,-2.595875091994448,-3.626029998163522
50,51,0.03,-4678.439744734165,-0.0007989264049618529,5.670689506449913,86,22,64,-2.592881262368326,-3.6051880009110073
50,53,0.03,-4356.013775022715,-0.0007458572185648783,5.512266389285884,84,22,62,-2.4488397994214344,-3.1876531960957895
50,55,0.03,-4263.815936784483,-0.0007251682522423706,5.410598296903828,83,22,61,-2.589467332996987,-3.0923829849943423
50,57,0.03,-4209.499763205952,-0.0007150108936500304,5.365176573121365,80,21,59,-2.599020392103927,-3.1339974958616335
50,59,0.03,-3888.769866533086,-0.0006609776117332495,5.202889857453561,79,21,58,-2.5983002885038213,-2.9005792568124757
55,15,0.03,-6851.690581628529,-0.0011604758259255818,7.4261760441524105,120,26,94,-2.1082624437850077,-5.003528742727495
55,17,0.03,-7150.648272453993,-0.0012035609211464597,7.545051644742984,121,26,95,-2.1172842193029657,-5.167760418925297
55,19,0.03,-6992.296169851945,-0.0011813852233903356,7.191746519292745,117,26,91,-2.0666747742598766,-5.044341497998165
55,21,0.03,-6737.726371321019,-0.001153345522512213,6.980911772189077,115,25,90,-2.1002839460116367,-4.859910882635591
55,23,0.03,-6032.114943692838,-0.0010173585392914348,6.469186802672236,107,24,83,-2.3211858043425098,-4.394299412268848
