momentum_period,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
16,0.07,-5077.742607308407,-0.0009193523991363707,7.086065662248754,33,7,26,-2.0199075967737468,-4.348783824664271
16,0.1,-3855.500605603763,-0.0008013702232847724,6.937474378181984,15,2,13,-1.817234231370818,-3.559506743705488
19,0.03,-7374.313348823764,-0.001271475499098236,7.517636480492155,113,22,91,-2.4326462174013033,-5.59238227148846
19,0.05,-5675.539692983743,-0.0010369562698442994,7.147754156289933,52,7,45,-2.143539688428112,-4.563114237564951
19,0.07,-4419.562724192706,-0.000843392101779534,7.106565856253454,32,7,25,-2.03978476143408,-3.1759674509580034
19,0.1,-3476.7331040395447,-0.0007407267268286238,6.985312332148395,15,2,13,-1.7656321543073399,-2.7362599804294576
22,0.03,-7749.123171893084,-0.0013306999257134359,7.884428493206783,111,19,92,-2.436001755387371,-5.784946424782789
22,0.05,-5929.526696508206,-0.0010707858693561152,7.252196529497713,50,8,42,-2.2307474096788,-4.749308541738992
22,0.07,-4648.849019337002,-0.0008885127440104267,7.358303477028106,32,7,25,-2.105293317465733,-3.0139417068201615
22,0.1,-3194.204659303721,-0.0006954508052686275,7.167327366826997,14,2,12,-1.7933741944837505,-2.2892757462734687
25,0.03,-6174.097377763164,-0.0010595366476236468,6.820019487514021,100,19,81,-2.4941300831568007,-4.6378847166536294
25,0.05,-4080.9352211400706,-0.0007673761482520664,6.634970966820179,44,9,35,-2.3562759530672976,-3.5029791357640034
25,0.07,-3445.5463910868007,-0.0006918304850132753,6.810757861989449,28,6,22,-2.18504271498948,-2.406586324055148
25,0.1,-2645.057495323164,-0.0005888502446274439,6.663222839944553,13,2,11,-1.9635172939555676,-2.0213191473711856
28,0.03,-6129.692614519617,-0.0010412989320586403,6.919324768971059,98,17,81,-2.620041494381039,-4.9020288452245975
28,0.05,-4031.660528520792,-0.0007549759188731132,6.665938928746459,44,9,35,-2.447357303476863,-3.732173722215876
28,0.07,-2611.3929571481494,-0.0005396327058457474,6.163159496358979,26,6,20,-2.138743695821296,-1.8602525764658144
28,0.1,-2539.817659641917,-0.0005683816208233329,6.712641954765183,13,2,11,-1.9328486246835739,-1.9635410619974116
31,0.03,-5945.09608598629,-0.001024286862290763,7.03057624950554,97,20,77,-2.558291276200368,-4.574654070012063
31,0.05,-4197.750738278385,-0.0007459679818659545,6.931755005529916,46,9,37,-2.3439145914352713,-3.389885561068797
31,0.07,-2665.1182335112944,-0.0005234343547010216,6.253669254853204,27,6,21,-2.1880414001827164,-1.8536701455011029
31,0.1,-2634.6022673213843,-0.0005478520691857302,6.968052460583644,14,2,12,-1.873747101842123,-1.9078420535538172
34,0.03,-5616.70802023306,-0.0009750868662834905,7.192234594144036,93,20,73,-2.4673383900987793,-4.313570461871964
34,0.05,-3528.3507505404805,-0.0006575564084309671,6.3213154861603265,42,9,33,-2.374259728942521,-3.131043142472708
34,0.07,-2770.666702249259,-0.0005904573962090339,6.214744257882721,26,6,20,-2.2941195036169892,-2.245425451466231
34,0.1,-2597.788097379936,-0.0005339937323191117,6.392531747110558,13,2,11,-1.9963330013081906,-2.279761217024928
37,0.03,-6001.62429083072,-0.0010482597211328472,7.498545482431682,94,17,77,-2.45540338414366,-4.683344395472265
37,0.05,-3781.6227282633813,-0.0006976112972754484,6.684410619686396,43,9,34,-2.3873802727741755,-3.155444463052645
37,0.07,-2603.8229212793885,-0.000557795593127149,6.607457547565664,27,7,20,-2.0954782717225893,-1.760185149925401
37,0.1,-2248.3571590413144,-0.00043754863763832165,6.423132696487213,13,2,11,-1.8792657314055286,-1.658835295249912
40,0.03,-5804.275855261045,-0.001022227152247873,7.411128860249064,91,19,72,-2.478773963767376,-4.551203243497062
40,0.05,-3467.3715749143576,-0.0006055081720854464,6.212207776132768,42,10,32,-2.426252010481678,-2.883312685275591
40,0.07,-2226.2724927376785,-0.00048299660261386454,6.038496684085614,25,6,19,-2.212014893493165,-1.6127869992418817
40,0.1,-2301.6140268009717,-0.00040633446404233044,6.10724614393247,13,2,11,-1.9589488042987144,-1.7802201079752098
43,0.03,-5269.635959145596,-0.0009333009096952489,6.721361632861584,86,18,68,-2.6089809642774227,-4.182701571218103
43,0.05,-3283.0402524768065,-0.000581437335770647,5.881032328032626,40,9,31,-2.5339512162573077,-2.8331776600058425
43,0.07,-2117.024202513047,-0.0004268941591881917,5.9039294798903645,25,6,19,-2.1957844087129357,-1.3969439300256632
43,0.1,-2258.132312892875,-0.0003714810482610927,5.964027237568434,13,2,11,-1.9674342990265377,-1.6300402587624827
46,0.03,-4601.286718132366,-0.0008210443743902698,6.298044767266243,84,18,66,-2.5795937124660213,-3.5955992991627572
46,0.05,-3400.0282975629293,-0.0005817051596139336,5.9235470049095,40,9,31,-2.588415969084352,-2.9649580029116844
46,0.07,-2398.906589604593,-0.00046852850457414143,6.0298219871948096,25,6,19,-2.2203169641620772,-1.6054689565514975
46,0.1,-2316.2555970045246,-0.0003923284885701011,5.988518703296578,13,2,11,-1.9788775071375833,-1.7217341125580592
49,0.03,-5271.169039325619,-0.0009051254320029312,6.490504315657803,83,17,66,-2.540524318959352,-3.9850551851199136
49,0.05,-2818.581335171445,-0.00048358958150256147,5.211752866092393,37,8,29,-2.5371295233099285,-2.412040447735013
49,0.07,-2587.5033397938814,-0.00047356368487173087,5.756147939086679,24,6,18,-2.2549691250846893,-1.6921016125994384
49,0.1,-2436.368011681612,-0.0004184832604498431,5.970289706345805,13,2,11,-1.9585950475993357,-1.7395079260395598
52,0.03,-4678.645487158636,-0.0008116193015114869,6.1150569509813995,79,18,61,-2.5095515262809207,-3.618034093310038
52,0.05,-2740.5415346492223,-0.0004808351365383709,5.1233298679530295,36,8,28,-2.5456673806570795,-2.3557387183515486
52,0.07,-2163.004586022172,-0.00040844491561809767,5.261260504731758,23,6,17,-2.27087804162681,-1.4875835139226952
52,0.1,-2471.0894511702836,-0.0004212975696739681,5.938273893813071,13,2,11,-1.9544802462309858,-1.8126280364560685
55,0.03,-4528.1122876876325,-0.0007926802787091305,5.748683169007001,77,17,60,-2.6037471438737025,-3.478284901989863
55,0.05,-2754.082166324567,-0.0004780836604762335,5.007002987123834,35,9,26,-2.640838215268805,-2.292495507635704
55,0.07,-2192.005038345881,-0.00039708459921374337,5.042156051332649,23,6,17,-2.261097052476946,-1.3944979803078261
55,0.1,-2724.6074868126857,-0.00045614909746739357,6.037969278689899,13,2,11,-1.9411208100232145,-1.8522717796895047
58,0.03,-3708.9059463650265,-0.0006461667878067287,5.065784708800363,72,18,54,-2.7192711875366444,-2.828909696120664
58,0.05,-2119.680821073637,-0.0003672262610906336,4.40690740444643,33,9,24,-2.644224735182846,-1.7859916471388257
58,0.07,-1826.7554832396313,-0.00033372481512066864,4.711003041092745,22,6,16,-2.2598776564052043,-1.1702465648725007
58,0.1,-2284.685156045333,-0.00037435726038473636,5.675568376845534,12,2,10,-1.9217899487211534,-1.554303275582824
